,Asset ID,Name,Date,Hour,MWh,Peak Status,Last Updated
0,ARD1,Ardenville,"June 04, 2021",1,27.4340,Off-Peak,2021-06-08
1,ARD1,Ardenville,"June 04, 2021",2,14.6940,Off-Peak,2021-06-08
2,ARD1,Ardenville,"June 04, 2021",3,10.3420,Off-Peak,2021-06-08
3,ARD1,Ardenville,"June 04, 2021",4,8.7750,Off-Peak,2021-06-08
4,ARD1,Ardenville,"June 04, 2021",5,0.3752,Off-Peak,2021-06-08
5,ARD1,Ardenville,"June 04, 2021",6,0.0935,Off-Peak,2021-06-08
6,ARD1,Ardenville,"June 04, 2021",7,0.0000,Off-Peak,2021-06-08
7,ARD1,Ardenville,"June 04, 2021",8,0.0000,Peak,2021-06-08
8,ARD1,Ardenville,"June 04, 2021",9,0.0000,Peak,2021-06-08
9,ARD1,Ardenville,"June 04, 2021",10,0.0000,Peak,2021-06-08
10,ARD1,Ardenville,"June 04, 2021",11,0.2537,Peak,2021-06-08
11,ARD1,Ardenville,"June 04, 2021",12,4.7970,Off-Peak,2021-06-08
12,ARD1,Ardenville,"June 04, 2021",13,30.5010,Off-Peak,2021-06-08
13,ARD1,Ardenville,"June 04, 2021",14,33.9050,Off-Peak,2021-06-08
14,ARD1,Ardenville,"June 04, 2021",15,41.8190,Off-Peak,2021-06-08
15,ARD1,Ardenville,"June 04, 2021",16,50.9789,Off-Peak,2021-06-08
16,ARD1,Ardenville,"June 04, 2021",17,52.2408,Off-Peak,2021-06-08
17,ARD1,Ardenville,"June 04, 2021",18,47.6108,Off-Peak,2021-06-08
18,ARD1,Ardenville,"June 04, 2021",19,53.9048,Off-Peak,2021-06-08
19,ARD1,Ardenville,"June 04, 2021",20,46.7970,Off-Peak,2021-06-08
20,ARD1,Ardenville,"June 04, 2021",21,31.1851,Off-Peak,2021-06-08
21,ARD1,Ardenville,"June 04, 2021",22,34.2949,Off-Peak,2021-06-08
22,ARD1,Ardenville,"June 04, 2021",23,49.0504,Off-Peak,2021-06-08
23,ARD1,Ardenville,"June 04, 2021",24,54.1429,Off-Peak,2021-06-08
24,BTR1,Blue Trail,"June 04, 2021",1,12.5440,Off-Peak,2021-06-08
