,Asset ID,Name,Date,Hour,MWh,Peak Status,Last Updated
0,ARD1,Ardenville,"May 24, 2021",1,0.2185,Off-Peak,2021-06-08
1,ARD1,Ardenville,"May 24, 2021",2,0.1025,Off-Peak,2021-06-08
2,ARD1,Ardenville,"May 24, 2021",3,0.1107,Off-Peak,2021-06-08
3,ARD1,Ardenville,"May 24, 2021",4,0.5987,Off-Peak,2021-06-08
4,ARD1,Ardenville,"May 24, 2021",5,5.7910,Off-Peak,2021-06-08
5,ARD1,Ardenville,"May 24, 2021",6,7.7165,Off-Peak,2021-06-08
6,ARD1,Ardenville,"May 24, 2021",7,2.8085,Off-Peak,2021-06-08
7,ARD1,Ardenville,"May 24, 2021",8,2.3420,Peak,2021-06-08
8,ARD1,Ardenville,"May 24, 2021",9,8.4665,Peak,2021-06-08
9,ARD1,Ardenville,"May 24, 2021",10,11.6250,Peak,2021-06-08
10,ARD1,Ardenville,"May 24, 2021",11,18.1950,Peak,2021-06-08
11,ARD1,Ardenville,"May 24, 2021",12,34.3580,Off-Peak,2021-06-08
12,ARD1,Ardenville,"May 24, 2021",13,27.7150,Off-Peak,2021-06-08
13,ARD1,Ardenville,"May 24, 2021",14,2.7635,Off-Peak,2021-06-08
14,ARD1,Ardenville,"May 24, 2021",15,12.7330,Off-Peak,2021-06-08
15,ARD1,Ardenville,"May 24, 2021",16,16.3510,Off-Peak,2021-06-08
16,ARD1,Ardenville,"May 24, 2021",17,24.4365,Off-Peak,2021-06-08
17,ARD1,Ardenville,"May 24, 2021",18,39.6780,Off-Peak,2021-06-08
18,ARD1,Ardenville,"May 24, 2021",19,27.0520,Off-Peak,2021-06-08
19,ARD1,Ardenville,"May 24, 2021",20,18.5210,Off-Peak,2021-06-08
20,ARD1,Ardenville,"May 24, 2021",21,29.5530,Off-Peak,2021-06-08
21,ARD1,Ardenville,"May 24, 2021",22,32.1095,Off-Peak,2021-06-08
22,ARD1,Ardenville,"May 24, 2021",23,38.4835,Off-Peak,2021-06-08
23,ARD1,Ardenville,"May 24, 2021",24,44.9995,Off-Peak,2021-06-08
24,BTR1,Blue Trail,"May 24, 2021",1,1.0745,Off-Peak,2021-06-08
25,BTR1,Blue Trail,"May 24, 2021",2,0.4480,Off-Peak,2021-06-08
26,BTR1,Blue Trail,"May 24, 2021",3,0.3715,Off-Peak,2021-06-08
27,BTR1,Blue Trail,"May 24, 2021",4,0.0425,Off-Peak,2021-06-08
28,BTR1,Blue Trail,"May 24, 2021",5,0.0000,Off-Peak,2021-06-08
29,BTR1,Blue Trail,"May 24, 2021",6,0.4555,Off-Peak,2021-06-08
30,BTR1,Blue Trail,"May 24, 2021",7,0.0000,Off-Peak,2021-06-08
31,BTR1,Blue Trail,"May 24, 2021",8,0.2780,Peak,2021-06-08
